OBJECTID,CD_ACID,ANO,DATA_ACID,DIA_ACID,HORA_ACID,CD_MES_ACI,MES_ACID,CD_DIA_SEM,DIA_SEMANA,CD_END_OCO,END_OCOR,NUM_KM_END,CD_ESQ,ESQUINA,PROXIMO,BAIRRO_OCO,CD_BAIRRO_,BAIRRO_GEO,CD_REGIONA,REGIONAL,MUNICIPIO,NUM_VIT_FA,TP_ACIDENT,TP_ESPECIE,TP_OUTRO_V,CS_VELOCID,CS_ALCOOL,CS_INFRAES,CS_TRANS_L,CS_TRANS_1,CS_DESREP_,FONTE,OBS_ACID,GEORREF,COORD_N_SA,COORD_E_SA,LAT_SIRGAS,LON_SIRGAS
18,201020016.0,2010,,,,0,,0,,W134G,R. FRANCISCO BISCARDI,137,,,,CAPÃO RASO,58,CAPÃO RASO,8,REGIONAL PINHEIRINHO,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178331.17602539,670529.99700928,-25.50277245,-49.30375845
19,201020003.0,2010,,,,0,,0,,C111,BR 116,"110,0",,,,TATUQUARA,72,GANCHINHO,10,REGIONAL BAIRRO NOVO,CURITIBA,1,ATROPELAMENTO,A PÉ,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7171668.76202393,674920.54418945,-25.56239732,-49.25922112
20,201020004.0,2010,2010-01-03,2010-01-03,,1,JANEIRO,1,DOMINGO,C888A,BR 476,128,,,PROX AFONSO CAMARGO,JARDIM BOTÂNICO,6,CRISTO REI,1,REGIONAL MATRIZ,CURITIBA,1,CHOQUE,AUTOMÓVEL,NÃO SE APLICA,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7185021.34082,677668.69659,-25.44154688,-49.23363853
22,201020013.0,2010,2010-01-28,2010-01-28,,1,JANEIRO,5,QUINTA-FEIRA,C777,BR 277,"78,0",,,,CAJURU,21,CAJURU,3,REGIONAL CAJURU,CURITIBA,1,ATROPELAMENTO,MOTOCICLETA,PEDESTRE,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7180528.78839111,681491.75579834,-25.48163473,-49.19502917
23,201020014.0,2010,2010-01-29,2010-01-29,,1,JANEIRO,6,SEXTA-FEIRA,C777,BR 277,"82,0",,,,JARDIM DAS AMÉRICAS,22,JARDIM DAS AMÉRICAS,3,REGIONAL CAJURU,CURITIBA,1,COLISÃO,MOTOCICLETA,AUTOMÓVEL,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7183306.45703125,678720.48223877,-25.45689959,-49.22295555
24,201020024.0,2010,2010-01-16,2010-01-16,,1,JANEIRO,7,SÁBADO,C444,BR 476,"122,0",,,,ATUBA,55,ATUBA,4,REGIONAL BOA VISTA,CURITIBA,1,COLISÃO,AUTOMÓVEL,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7191232.58599854,680866.15203857,-25.38509762,-49.20268458
26,201020034.0,2010,2010-03-05,2010-03-05,,3,MARÇO,6,SEXTA-FEIRA,C777,BR 277,"75,0",,,,,0,-,0,-,CURITIBA,1,IGNORADO,IGNORADO,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7180261.95422363,682033.1618042,-25.48397682,-49.18960934
27,201020035.0,2010,2010-03-05,2010-03-05,,3,MARÇO,6,SEXTA-FEIRA,C555,BR 376,"595,0",,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178611.80639649,666693.69061279,-25.50067584,-49.34195092
28,201020040.0,2010,2010-03-02,2010-03-02,,3,MARÇO,3,TERÇA-FEIRA,C777,BR 277,"79,0",,,,UBERABA,37,UBERABA,3,REGIONAL CAJURU,CURITIBA,1,COLISÃO,AUTOMÓVEL,VEÍCULO PESADO OU ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7180953.32141113,680654.36920166,-25.47790511,-49.20341315
29,201020047.0,2010,2010-03-13,2010-03-13,,3,MARÇO,7,SÁBADO,C666,BR 277,"98,0",,,,,59,ORLEANS,5,REGIONAL SANTA FELICIDADE,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7186422.49078369,665943.22283936,-25.43025487,-49.35037735
